返報をする	んで	偸んで
昼寝をする	が	彼が
生活をする	が を	族が 愛を
投書をする	へ	ほととぎすへ
話をする	に	時に
報道をする	に	耳に
雑談をする	は	黒は
思案をする	は	吾輩は
御馳走をする	って	猟って
写生をする	に従って	忠告に従って
対話をする	で	椽側で
降参をする	は	主人は
苦心をする	から	さっきから
存在をする	まで から	今まで 世間から
談話をする	が	主人が
我儘をする	が	他人が
慰安をする	に	遺書に
喧嘩をする	で	独りで
治療をする	で	豪傑で
晩酌をする	から	今夜から
遠征をする	の まで	黒の 屋まで
話をする	は	時は
挨拶をする	で	間で
返事をする	は	吾輩は
形容をする	に	ように
同情をする	は	主人は
同情をする	に	人物に
尽力をする	で に	ためで 先生に
捺印をする	へ	これへ
御馳走をする	に	子に
返事をする	は に	主人は 手紙に
著述をする	より	中より
厚遇をする	が まで	猫が かくまで
返事をする	は	下女は
含嗽をする	で	場で
挨拶をする	も	これも
講釈をする	に	人に
苦心をする	が が	僕が 人が
臨席をする	に	先生に
復讐をする	は に	主人は 度に
経験をする	に に	時に 上に
経験をする	に は	暮に 僕は
息をする	は	主人は
真似をする	で	席で
ストライキをする	が に	活気が 度に
返事をする	は	私は
註釈をする	が	迷亭が
相談をする	と	細君と
妨害をする	が	ゲーが
いたずらをする	は で	野良猫は 達者で
談話をする	で	中途で
身震いをする	は	吾輩は
回向をする	は が から	今頃は 自身が さんから
同情をする	から	人間から
供をする	に	たまに
説教をする	は で	迷亭は 調子で
同情をする	に	細君に
返答をする	は が	細君は 促が
沈黙をする	も くらい	人間も 猫くらい
演説をする	でも で	何でも 協会で
欠伸をする	は に	主人は そうに
返事をする	は	主人は
絞殺をする	として	処刑として
絞殺をする	から	今から
欠伸をする	と が	のと 主人が
同情をする	は	主人は
敬意をする	に	鼻に
返事をする	は	迷亭は
噂をする	に で	様に 宿で
心配をする	へ	さまへ
談判をする	は で に	迷亭は 迷亭で そうに
質問をする	は	子は
研究をする	で	大学院で
質問をする	で	これで
失礼をする	は は	子は これは
返事をする	も	主人も
著述をする	は で	人は 歳で
噂をする	まで	今まで
談話をする	ながら	余所ながら
撰をする	で と に	猫で 猫と 殊に
許諾をする	て など	ずして 事件など
報道をする	として	得々として
自覚をする	に	彼等に
意味をする	は	さんは
電話をする	に	馬鹿に
挨拶をする	は	小間使は
